,Hotel,Reviews,Aspect_Sentiment
287,The Principal London, I highly recommend this hotel Excellent value for money in central London The architecture and the decor is remarkable My room was spacious with a high ceiling and large bay windows And the bed was very comfortable In addition to that the customer service was superb from the waiters to the Hotel Manager And it was great to see the Receptionist Cohen who has the perfect combination of impeccable manners with friendly professionalism ,"{'customer service': [0, 0], 'architecture': [0.125, 0], 'addition': [0, 0], 'my room': [0.25, 0], 'ceiling': [0.125, 0], 'combination': [0.125, -0.625], 'hotel manager': [0.625, 0], 'london': [0.625, 0], 'hotel excellent value': [1.875, 0], 'receptionist cohen': [0.25, -1.25], 'decor': [0.125, 0], 'bay': [0.125, 0], 'money': [0.625, 0], 'bed': [0.5, -0.75]}"
288,The Principal London, An incredibly comfortable bed in a really well appointed room And Cohen the Receptionist was highly professional friendly and polite Excellent hotel ,"{'room': [0.625, -0.75], 'incredibly': [0.625, -0.75], 'receptionist': [1.25, 0], 'cohen': [1.25, 0], 'bed': [0.625, -0.75]}"
289,The Principal London, The hotel is clean The staff is very friendly The room was relatively big so I had space to move around The staff is super friendly and the Location is perfect The tube is extremely close and while you usually have to switch trains the fact that the station is small and easy to get around is a big bonus For example you might think that being close to Kings Cross is a better location but that station is huge and just to get in and out of it is at least 10 minutes and that s if you get the exit right Switching trains is very easy and convenient and in my opinion should not be taking into consideration when choosing a location It s also located in front of Russel Square Park which is very nice ,"{'room': [0.875, 0], 'consideration': [1.75, -0.625], 'fact': [1.625, 0], 'example': [1.125, -0.125], 'station': [2.75, -0.125], 'bonus': [1.625, 0], 'exit right': [2.25, -0.25], 'staff': [2.5, 0], 'tube': [1.625, 0], 'opinion': [1.75, -0.625], 'location': [4.5, -0.75], 'front': [0.5, 0], 'kings cross': [2.25, -0.25], 'hotel': [0.875, 0], 'space': [1.625, 0]}"
291,The Principal London, Reception staff were very helpful Breakfast was good ,"{'reception staff': [2.5, 0]}"
292,The Principal London, The location,{}
293,The Principal London, The location from St Pancras was perfect We walked from the station to the hotel in less than 10 minutes Great access to the Tube ,"{'location': [0, -0.375], 'st pancras': [0, -0.75], 'station': [0, -0.375], 'great access': [0, -0.75], 'hotel': [0, -0.375]}"
294,The Principal London, Good location ,{}
295,The Principal London, Location is amazing for travel from Heathrow and to visit most sites in London Very near a tube station on one of the best tube lines Coffee shops beside the hotel ,"{'heathrow': [0.75, 0], 'london': [0.75, 0], 'location': [0.75, 0], 'travel': [0.75, 0], 'tube': [0.75, 0], 'coffee': [0.75, 0], 'tube station': [1.5, 0]}"
296,The Principal London, Excellent breakfast Comfortable room Wonderful wide staircase ,"{'room': [1.0, -0.75], 'breakfast': [1.0, -0.75]}"
297,The Principal London, The bedroom suite was luxurious quiet and comfortable and the bathroom with it s twin sinks and sit down shower was absolutely wonderful I couldn t fault it and I am extremely fussy ,"{'shower': [1.875, -0.75], 'bedroom suite': [3.75, -1.5], 'bathroom': [1.875, -0.75]}"
298,The Principal London, Very Interesting Decor Good Location Great little restaurant around the corner ,"{'decor good location great': [1.875, -0.25], 'restaurant': [0, -0.25]}"
299,The Principal London, Always excellent reception staff who try hard to offer quiet rooms I always feel welcome and that s why I return It s very good value for the quality,"{'always': [1.25, -0.75], 'reception staff': [2.0, -1.5], 'value': [1.0, 0]}"
300,The Principal London, It is a beautiful old hotel a bit worn down but with distinct charm ,"{'bit': [1.25, -0.25], 'hotel': [1.25, -0.25]}"
302,The Principal London, Excellent desk and concierge service gracious and friendly and provided good service Location is right at the Picadilly tube line and easy walking to the Circle line I took the Picadilly tube to Heathrow and avoided traffic to get there I rolled my suitcase around the corner took the lift to the platform and didn t have to move again until reaching Heathrow ok one short stairway That s convenient ,"{'heathrow': [0, 0], 'stairway': [0, 0], 'traffic': [0, 0], 'platform': [0, 0], 'concierge service': [6.25, 0], 'service location': [6.25, 0], 'desk': [3.125, 0], 'line': [3.125, 0], 'circle line': [6.25, 0], 'walking': [3.125, 0], 'suitcase': [0, 0], 'picadilly tube': [6.25, 0], 'lift': [0, 0], 'didn': [0, 0], 'picadilly': [3.125, 0], 'corner': [0, 0]}"
0,Hotel Arena, I am so angry that i made this post available via all possible sites i use when planing my trips so no one will make the mistake of booking this place I made my booking via booking com We stayed for 6 nights in this hotel from 11 to 17 July Upon arrival we were placed in a small room on the 2nd floor of the hotel It turned out that this was not the room we booked I had specially reserved the 2 level duplex room so that we would have a big windows and high ceilings The room itself was ok if you don t mind the broken window that can not be closed hello rain and a mini fridge that contained some sort of a bio weapon at least i guessed so by the smell of it I intimately asked to change the room and after explaining 2 times that i booked a duplex btw it costs the same as a simple double but got way more volume due to the high ceiling was offered a room but only the next day SO i had to check out the next day before 11 o clock in order to get the room i waned to Not the best way to begin your holiday So we had to wait till 13 00 in order to check in my new room what a wonderful waist of my time The room 023 i got was just as i wanted to peaceful internal garden view big window We were tired from waiting the room so we placed our belongings and rushed to the city In the evening it turned out that there was a constant noise in the room i guess it was made by vibrating vent tubes or something it was constant and annoying as hell AND it did not stop even at 2 am making it hard to fall asleep for me and my wife I have an audio recording that i can not attach here but if you want i can send it via e mail The next day the technician came but was not able to determine the cause of the disturbing sound so i was offered to change the room once again the hotel was fully booked and they had only 1 room left the one that was smaller but seems newer ,"{'day': [1.375, -1.375], 'room': [3.75, -2.875], 'audio recording': [0.75, -1.25], 'place': [0.375, -0.625], 'com': [0.375, 0], 'one': [0.875, -0.75], 'sound': [0.5, -0.75], 'asleep': [0, -1.375], 'noise': [0, -0.25], 'july': [0, 0], 'wife': [0, -1.375], 'holiday': [0.25, -0.625], 'cause': [0.5, -0.75], 'something': [0, -0.25], 'order': [1.375, -0.625], 'o clock': [4.75, -5.75], 'garden view': [1.75, 0], 'time': [1.75, 0], 'level': [0.375, 0], 'room i': [8.25, -8.0], 'room i guess': [8.25, -8.875], 'broken window': [1.25, -1.25], 'hotel': [0.5, -1.375], 'rain': [0, -0.625], 'hell': [0, -0.875], 'i': [4.5, -5.125], 'bio weapon': [0, -1.25], 'way': [0.875, -0.625], 'city': [0, 0], 'evening': [0, -0.25], 'mini fridge': [0, -1.25], 'volume': [0.625, 0], 'mistake': [0.375, 0], 'window': [1.25, -0.625], 'arrival': [0, -0.625], 'ceiling': [1.0, 0], 'floor': [0, -0.625], 'post': [0.375, 0], 'btw': [0.625, 0], 'waist': [1.125, 0], 'sort': [0, -0.625], 'smell': [0, -0.625], 'mail': [0.375, -0.625]}"
2,Hotel Arena, Rooms are nice but for elderly a bit difficult as most rooms are two story with narrow steps So ask for single level Inside the rooms are very very basic just tea coffee and boiler and no bar empty fridge ,"{'story': [0, -0.75], 'level': [1.625, 0], 'bar': [1.625, 0], 'bit': [0, -0.75], 'boiler': [1.625, 0], 'coffee': [1.625, 0]}"
3,Hotel Arena, My room was dirty and I was afraid to walk barefoot on the floor which looked as if it was not cleaned in weeks White furniture which looked nice in pictures was dirty too and the door looked like it was attacked by an angry dog My shower drain was clogged and the staff did not respond to my request to clean it On a day with heavy rainfall a pretty common occurrence in Amsterdam the roof in my room was leaking luckily not on the bed you could also see signs of earlier water damage I also saw insects running on the floor Overall the second floor of the property looked dirty and badly kept On top of all of this a repairman who came to fix something in a room next door at midnight was very noisy as were many of the guests I understand the challenges of running a hotel in an old building but this negligence is inconsistent with prices demanded by the hotel On the last night after I complained about water damage the night shift manager offered to move me to a different room but that offer came pretty late around midnight when I was already in bed and ready to sleep ,"{'room': [3.5, -4.625], 'floor': [3.5, -4.625], 'occurrence': [1.375, -4.125], 'door': [3.5, -4.625], 'barefoot': [1.375, -4.125], 'dog my shower drain': [5.5, -16.5], 'day': [1.375, -4.125], 'building': [2.125, -0.5], 'night': [2.125, -0.5], 'something': [2.125, -0.5], 'staff': [1.375, -4.125], 'repairman': [2.125, -0.5], 'bed': [3.5, -4.625], 'request': [1.375, -4.125], 'night shift manager': [6.375, -1.5], 'white furniture': [2.75, -8.25], 'midnight': [2.125, -0.5], 'rainfall': [1.375, -4.125], 'negligence': [2.125, -0.5], 'roof': [1.375, -4.125], 'amsterdam': [1.375, -4.125], 'property': [2.125, -0.5], 'dirty': [3.5, -4.625], 'hotel': [2.125, -0.5], 'top': [2.125, -0.5], 'water damage': [7.0, -9.25]}"
4,Hotel Arena, You When I booked with your company on line you showed me pictures of a room I thought I was getting and paying for and then when we arrived that s room was booked and the staff told me we could only book the villa suite theough them directly Which was completely false advertising After being there we realised that you have grouped lots of rooms on the photos together leaving me the consumer confused and extreamly disgruntled especially as its my my wife s 40th birthday present Please make your website more clear through pricing and photos as again I didn t really know what I was paying for and how much it had wnded up being Your photos told me I was getting something I wasn t Not happy and won t be using you again ,"{'pricing': [0.25, 0], 'book': [0.375, 0], 'room': [0.75, 0], 'something': [0, 0], 'company': [0.375, 0], 'advertising': [0.5, -0.75], 'villa suite': [0, 0], 'wife': [0.375, 0], 'birthday present please': [1.0, 0], 'website': [0.25, 0], 'line': [0.375, 0], 'staff': [0, 0], 'consumer': [0.375, 0], 'photos': [0.625, 0]}"
5,Hotel Arena, Backyard of the hotel is total mess shouldn t happen in hotel with 4 stars ,"{'backyard': [0, 0], 'mess shouldn t': [0, 0], 'hotel': [0, 0]}"
6,Hotel Arena, Cleaner did not change our sheet and duvet everyday but just made bed They also didn t clean the floor and changed the body gel when we run out of it ,"{'floor': [0, 0], 'duvet': [0.75, -0.625], 'cleaner': [0.75, -0.625], 'sheet': [0.75, -0.625], 'bed': [0.75, -0.625]}"
7,Hotel Arena, Apart from the price for the brekfast Everything very good,"{'price': [0.5, 0]}"
8,Hotel Arena, Even though the pictures show very clean rooms the actual room was quit dirty and outlived Also check in is at 15 o clock but our room was not ready at that time,"{'room': [0.5, -1.375], 'check': [0.5, -1.375], 'dirty': [0.5, -1.375], 'clock': [0.5, -1.375]}"
9,Hotel Arena, The aircondition makes so much noise and its hard to sleep at night ,"{'noise': [0, -0.75], 'aircondition': [0, -0.75]}"
10,Hotel Arena, Nothing all great ,{}
11,Hotel Arena, 6 30 AM started big noise workers loading wood down the windows Stupid room numbering system it took 20 Minutes with a night guard finally to find our rooms The check in staff pointed us in the wrong direction No late dinner bar closes at 1 am Ugly view on trash lorry from windows No information about the computerized telephone Huge price difference between booking Com price 166 euros and hotel price 260 ,"{'room': [0, -0.125], 'check': [0, -0.75], 'com price': [0, 0], 'noise': [0.25, 0], 'night guard': [0, -0.25], 'system': [0, -0.125], 'wood': [0.25, 0], 'information': [0, 0], 'trash lorry': [0, -0.75], 'direction': [0, -0.75], 'staff': [0, -0.75], 'am': [0.25, -0.375], 'telephone huge price difference': [0, 0], 'euros': [0, 0], 'dinner bar': [0, -0.75]}"
12,Hotel Arena, The floor in my room was filfy dirty Very basic rooms I had a 20yr old tv in my room Fridge did not work Overpriced breakfast ,"{'room': [0, -0.75], 'floor': [0, -0.75], 'room fridge': [0, -1.375], 'very': [0, -0.75], 'tv': [0, -0.75]}"
14,Hotel Arena, The staff in the restaurant could of been more pleasant we only visited once but that wouldn t stop us from booking again it might of just been an off night for him ,"{'staff': [0.625, 0], 'restaurant': [0.625, 0]}"
16,Hotel Arena, Very steep steps in room up to the bed not safe for children I asked to move rooms and was put in another identical one Room decoration was minamilist which I like but felt prison cell sparse,"{'room': [1.125, -1.125], 'bed': [1.125, -1.125], 'room decoration': [2.25, -2.25]}"
17,Hotel Arena, We did not like the fact that breakfast was not included although you could pay extra for this The room we stayed in was lacking in space a bit and the bathroom was very badly lit to use the mirror in there which meant getting ready for evening a bit tricky but only a small negative comment ,"{'space': [0.5, -1.5], 'room': [0.5, -1.5], 'breakfast': [0, -1.25], 'bathroom': [0.5, -1.5], 'mirror': [0.5, -1.5], 'bit': [0.5, -1.5], 'fact': [0, -1.25]}"
19,Hotel Arena, We had issues with our electronic key everyday It deactivated It wasn t kept near our phones but somehow there was an issue The staircase for our bed was steep and no handrail The tea coffee facilities weren t updated daily And the floor was dusty and had hair on it and that was upon our arrival That situation didn t change Other than those minor issues the hotel was lovely ,"{'floor': [0.25, -1.0], 'handrail': [0, 0], 'tea coffee': [0.5, -2.0], 'change': [0.25, -1.0], 'issue': [0.25, -1.0], 'situation': [0.25, -1.0], 'arrival': [0.25, -1.0], 'key everyday': [0, 0], 'wasn t': [0.25, -1.0], 'staircase': [0, 0], 'bed': [0, 0]}"
20,Hotel Arena, Bed was on upper level with a narrow twist staircase No USB port for mobile phone charging not even via thr tv s Some sockets didn t work and had loose covers dangerous Some corridors were poorly lit ,"{'usb port': [0, -1.25], 'twist staircase': [0.75, 0], 'level': [0.375, 0], 'phone': [0, -0.625], 'bed': [0.375, 0], 'tv s': [0.75, -2.625]}"
21,Hotel Arena, Our room was an overrated disaster room 231 dirty smelly hot and very noisy of the banging doors in the corridor and from the other rooms We moved the couch a bid and the dirt and dust of months no cleaning appeared the smell of the gutter was very disturbing the lighting was too weak and a black bathroom is the worst design disaster one can imagine We found the whole hotel dirty dusty and dated To spend more then 243 Euros for a dirty attic room is daylight robbery ,"{'room': [0.875, -3.625], 'bathroom': [0.375, -2.125], 'dirt': [0.875, -3.625], 'lighting': [0.5, -0.75], 'corridor': [0.5, -1.5], 'disaster room': [1.75, -7.25], 'hotel dirty dusty': [1.625, -7.875], 'design disaster': [1.25, -5.75], 'gutter': [0.5, -0.75], 'dirty': [0.875, -3.625], 'dust': [0.875, -3.625], 'cleaning': [0.5, -0.75], 'banging': [0.5, -1.5], 'smell': [1.0, -2.25], 'euros': [0.375, -2.125], 'bid': [0.5, -1.5]}"
22,Hotel Arena, Sadly I cannot say that the rooms are clean enough for me When we got in our room we immediately notice there s something wet and sticky like juice or something just next to our bed We called the front desk and they said they will send a cleaning lady to us We waited at least half an hour and no one showed up We had to go to the front desk and complain again When we got back later in the evening the juice has been removed but there s still some hair on the spot We were however no interest to complain anymore Also on the wall in the room on the curtain and in the bathroom there s a lot of stains which I had to ignore the whole time I didn t feel comfortable at all The staff at front desk are very friendly However I guess they pay really bad to their cleaning ladies First you will not be greeted by the cleaning staffs if you run into one at the hallway What more annoying is that I got woke up at 7 in the morning by the cleaning ladies because they closed the doors so loudly when they were cleaning other rooms And they didn t close it loudly just once but for at least on hour They kept open and close the door I was really annoyed I was in my holiday and I just wanted to have a good sleep at least The parking place was small but ok When we arrived the ticket machine was broken Someone told us we don t need a ticket to get in for now and we just have to inform the front desk when we check in We did so and paid for 2 days when we checked out When we drove out the ticket machine was broken again So we didn t actually have to plug in the ticket which we have paid with a lot of money Of course we should pay for it because we parked there but still I was not so happy because I have the feeling that I paid for nothing ,"{'room': [0.625, -2.75], 'place': [1.125, 0], 'bathroom': [0, -0.5], 'something wet': [1.25, -3.25], 'course': [0, 0], 'door': [0, -0.625], 'front desk': [3.75, -4.75], 'spot': [0, 0], 'holiday': [0, 0], 'curtain': [0, -0.5], 'complain': [0, -0.5], 'something': [0.625, -1.625], 'staff': [0.625, -1.375], 'ticket machine': [3.875, 0], 'hallway': [0, -0.625], 'time': [0.625, -0.75], 'annoying': [0, -0.625], 'lot': [1.0, -0.75], 'wall': [0, -0.5], 'interest': [0, -0.5], 'bed': [0.625, -1.625], 'one': [1.0, -0.625], 'cleaning lady': [1.875, -5.875], 'sticky': [0.625, -1.625], 'hour': [0.625, 0], 'evening': [0, 0], 'someone': [0.625, 0], 'ticket': [2.125, 0], 'feel': [1.5, -1.375], 'first': [0, -0.625], 'hair': [0, 0], 'cleaning': [1.25, -4.25], 'morning': [0, -0.625], 'feeling': [0.875, -0.625], 'money': [0.375, 0], 'sleep': [1.125, 0], 'juice': [0.625, -1.625]}"
23,Hotel Arena, Transportation was a bit of a pain but on route to your destination there is amazing views at every corner ,"{'bit': [0, -0.25], 'destination': [0, -0.25], 'route': [0, -0.25], 'transportation': [0, -0.25], 'pain': [0, -0.25]}"
24,Hotel Arena, Nothing ,{}
25,Hotel Arena, The bathroom in our room was a black glass box It theory it s cool in practice it leaves a lot to be desired Little privacy not enough light at the mirror and the shower leaked into the hall It did however allow for a loft space with a desk chairs and a second tv ,"{'room': [0, -0.375], 'light': [0, -0.625], 'little privacy': [0, -1.25], 'glass box': [0, -0.75], 'bathroom': [0, -0.375], 'mirror': [0, -0.625], 'hall': [0, -0.625], 'cool': [0, 0], 'space': [0, -0.5], 'shower': [0, -0.625], 'practice': [0, 0], 'desk chairs': [0, -1.0], 'lot': [0, -0.625]}"
26,Hotel Arena, Nothing at all to do with the Hotel of course but people tend to Slam their bedroom doors as they leave so if you re thinking of having a little lay in just be prepared for a Slam to awake you Other than that nothing to fault at all ,"{'nothing': [0.625, -0.875], 'bedroom': [0.625, -0.875], 'lay': [0.625, -0.875], 'slam': [0.625, -0.875], 'course': [0.625, -0.875], 'hotel': [0.625, -0.875]}"
27,Hotel Arena, Careful they are still renovating the building and start at 8am so it suits for business people but if you want a relaxing stay the noise can annoy you ,"{'start': [0.5, 0], 'building': [0.5, 0], 'business': [0.5, 0], 'relaxing stay': [1.0, 0]}"
28,Hotel Arena, We had 2 different rooms here and both were duplexes with identical floorplans There was very little space and the staircase was precarious with no handrail Was kind of a pain to have to go downstairs every time we needed something out of our luggage or needed to use the bathroom ,"{'space': [1.125, -1.25], 'something': [0, 0], 'handrail was kind': [2.25, -2.5], 'time': [0, 0], 'luggage': [0, 0], 'staircase': [1.125, -1.25], 'pain': [0, 0]}"
29,Hotel Arena, There is an ongoing construction enlarging the hotel The hotel s restaurant is nice but overpriced The bathroom is not very practical ,"{'construction': [0.625, -0.625], 'hotel s restaurant': [1.875, -1.875], 'hotel': [0.625, -0.625]}"
30,Hotel Arena, Little bit on the pricey side,"{'bit': [0.5, -0.25]}"
31,Hotel Arena, Extensive restorations works going on We had scaffolding outside our window blocking the view Temporary reception area The building is an old hospital you can still see the hospital aspects on the inside When the work is completed i m sure it will be fabulous No fridge in the room well there was one but it was very ineffective ,"{'view temporary reception area': [0, 0], 'inside': [0.875, -0.5], 'hospital': [0.875, -0.5], 'fridge': [0.875, -0.5], 'building': [0.875, -0.5], 'work': [0.875, -0.5], 'window': [0, 0]}"
32,Hotel Arena, Our bathroom had an urine order Shower was very slippery No shower chair handles or bars Bed was uncomfortable and mattress pad was too big and you felt like you were falling off Very expensive and breakfast was not included Construction and remodeling were going on and we were inconvenienced by it There was a park and that was nice Not close to town or museums ,"{'chair': [1.25, -1.625], 'remodeling': [0, 0], 'breakfast': [1.25, -1.625], 'bathroom': [0.5, 0], 'construction': [0, 0], 'pad': [1.25, -1.625], 'order shower': [2.25, -1.625], 'park': [0, 0], 'bed': [1.25, -1.625]}"
33,Hotel Arena, Please see above,{}
34,Hotel Arena, The rooms were cold Although nice the room decor was basic and unwelcoming It could use some design help an area rug or two ,"{'design': [0, 0], 'room decor': [0, -0.125]}"
35,Hotel Arena, Construction on site but not mentioned on booking com The breakfast can be improved it is quite expensive for its quality ,"{'construction': [0, -0.625], 'site': [0, -0.625], 'breakfast': [0.5, -0.625], 'com': [0, -0.625]}"
36,Hotel Arena, not cleaned well lady pushing to pay during my breakfast poor signs for temporary reception during renovation,"{'reception': [0, -0.625], 'breakfast': [0, -0.625]}"
37,Hotel Arena, The glass wall separating the bathroom and the toilet from the room is a weird solution for double It is necessary to darken the glasses much more ,"{'room': [0, -0.125], 'glass wall': [0, -0.25], 'toilet': [0, -0.125], 'bathroom': [0, -0.125]}"
38,Hotel Arena, the only thing that would of been better is if i had booked more nights But apart from that there is not really much I dislike about the Hotel I suppose if there is one thing the room I had did not have a view only other rooms but I dont tend to go on holiday to sit in my hotel room staring out the window so not really a great deal I can find that I did not like plus stayed for 2 nights and this place was perfect for that,"{'deal': [0.625, -0.625], 'view': [0, -1.25], 'hotel': [1.625, -0.625], 'hotel room': [1.625, -1.875], 'room': [0, -1.25], 'thing': [1.625, -1.875], 'i': [1.625, -2.5], 'holiday': [0, 0], 'window': [0, 0]}"
39,Hotel Arena, Staff a few were friendly and willing enough to help but we ran into one gentleman who seemed to be in training and was totally ineffective Every question we asked had to be referred to someone else he wouldn t make eye contact he wouldn t even just say I don t know the answer let me find out for you There didn t seem to be a manager around Unfortunately there is still a lot of construction going on so it is difficult to see what the building will be like when finished The temporary reception area is in a very small dark area under the central staircase too bad Breakfast was overpriced for a good but ordinary buffet ,"{'answer': [0, 0], 'reception area': [2.0, -4.75], 'area': [1.0, -2.375], 'training': [0.625, -0.625], 't': [2.25, -3.875], 'someone': [0.625, 0], 'building': [1.0, -2.375], 'question': [0.625, 0], 'gentleman': [0.625, -0.625], 'staff': [0.625, -0.625], 'manager': [0, -0.875], 'construction': [1.0, -2.375], 'eye contact': [1.25, 0], 't seem': [2.875, -5.375], 'lot': [1.0, -2.375], 'staircase': [1.0, -2.375], 'breakfast': [1.0, -2.375]}"
40,Hotel Arena, Several parts of the building outside are under construction at the moment and getting to the reception required a little search around Also the standard rooms are located towards a rather frequented street which gets very noisy when opening the windows This is rather necessary though due to the sleeping area on the first floor of the room being somewhat stuffy ,"{'moment': [0.5, -0.75], 'floor': [0.375, -0.125], 'area': [0.375, -0.125], 'street': [0.5, -0.75], 'room': [0.875, -0.875], 'construction': [0.5, -0.75], 'reception': [0.5, -0.75], 'building': [0.5, -0.75], 'standard': [0.5, -0.75], 'search': [0.5, -0.75]}"
41,Hotel Arena, Hotel undergoing the building of a new wing not that this caused us any issues except signs of building work meant reception was a temporary pop up affair Rooms that we had were tired and in need of some love First room had a broken window mechanism and signs of damp with chunks of plaster missing around the window area Shower did not drain properly and overflowed after only a couple of minutes We requested another room which we duly transferred too which was better although bathroom lights would work for no longer than 5 minutes before they went out guess a problem with a transformer overloading Fault reported but not rectified during our stay The building is magnificent the rooms we had just needed some care and attention and then the hotel would be first rate ,"{'wing': [2.625, -2.375], 'window mechanism': [5.25, -4.75], 'love first room': [7.875, -7.125], 'bathroom': [2.625, -2.375], 'stay': [2.625, -2.375], 'building': [2.625, -2.375], 'couple': [2.625, -2.375], 'plaster': [2.625, -2.375], 'pop': [2.625, -2.375], 'affair': [2.625, -2.375], 'area shower': [5.25, -4.75], 'building work': [5.25, -4.75], 'hotel': [2.625, -2.375], 'room': [2.625, -2.375], 'guess': [2.625, -2.375], 'reception': [2.625, -2.375], 'need': [2.625, -2.375], 'care': [2.625, -2.375], 'transformer': [2.625, -2.375], 'damp': [2.625, -2.375], 'fault': [2.625, -2.375], 'problem': [2.625, -2.375], 'attention': [2.625, -2.375]}"
42,Hotel Arena, Hotel is going through a major construction renovation was not mentioned during the booking process Staff is poorly trained check in did not work breakfast staff was more interested in me signing the breakfast check although I prepaid the breakfast then serving my cappuccino Room was huge 3 4 meter high ceilings and freezing cold Heating worked in the bathroom very hot but not in the room Was not able to take a shower in the morning water was boiling hot could not regulate the temperature Forget working in the room no working area feels more like a sanatorium And for all that I paid 250 Never again ,"{'room': [1.25, -2.125], 'check': [1.25, -3.375], 'area': [0, 0], 'breakfast': [1.25, -2.125], 'bathroom': [1.25, -2.125], 'meter': [1.25, -2.125], 'construction renovation': [0, -2.5], 'cappuccino room': [2.5, -4.25], 'room was': [2.5, -5.5], 'morning water': [2.5, -4.25], 'shower': [1.25, -2.125], 'staff': [1.25, -3.375], 'temperature forget': [1.25, -2.125], 'breakfast staff': [2.5, -5.5], 'hotel': [0, -1.25], 'breakfast check': [2.5, -5.5], 'heating': [1.25, -2.125], 'hot': [1.25, -3.375]}"
43,Hotel Arena, Water pressure in my shower was no existent Feel bad even saying that ,"{'shower': [0.125, -0.875], 'water pressure': [0.25, -1.75]}"
44,Hotel Arena, The service was awful They refused to take ownership of a mistake on their part even after being asked about it in the morning ,"{'service': [0, -0.875], 'part': [0, 0], 'mistake': [0, 0], 'ownership': [0, 0]}"
45,Hotel Arena, Bathroom lighting could have been brighter The airconditioning of our room 303 could not be turned down lower than 23 degrees celcius The refrigerator in our room was not cooling there was no thermostat The toiletries were not replenished shampoo shower gel dispenser was empty and was not replenished on the second day either ,"{'bathroom lighting': [0.25, 0], 'thermostat': [0, -1.875], 'room': [0.125, -2.625], 'refrigerator': [0, -1.875], 'airconditioning': [0, -0.75], 'shampoo shower gel dispenser': [0, -7.5]}"
46,Hotel Arena, The hotel is under construction which was never mentioned when I booked it or at any point until we arrived there We then wandered around empty half finished corridors looking for the temporary lobby The room was nice but the bathroom is a glass box inside the bedroom it s not in anyway private Showering or using the toilet feels aptly like you are performing in some kinky Amsterdam window there was also a nail sticking up at the entrance of the glass bathroom which I first discovered with my barefoot We woke up to the sound of scaffolding being hammered together and someone drilling concrete Hardly the relaxing break from noisey London that I believed I had booked The pictures are of a hotel looking over a park yet the room looked over an empty courtyard scattered with random bits of scaffolding and debris The first floor corridor smelled like they were having some serious blocked plumbing issue or perhaps another guest was very unwell Their 17 breakfast is really lazily thrown together with cheap products and entirely tasteless honestly not worth it get breakfast somewhere else instead We spent 100 in 3 days on uber because this hotel is over a mile from anything and the novelty of walking around pretty canals ends 20 minutes before this hotel even comes into view They will also take 50 deposit from you in advance for every day you are planning to stay This meant on arrival I suddenly had to pay a further 150 which caused a non sterling transaction charge on my card only to have the full amount refunded when we left minus the bank charges for this pointless but menditory transaction We made the best of it but I really wish they had been open about the current state of the place and I definitely would have stayed somewhere else ,"{'room': [5.125, -3.0], 'bedroom': [0.25, -0.625], 'lobby': [0.375, 0], 'transaction': [0.625, -0.625], 'breakfast': [4.125, -2.375], 'point': [0.625, -1.25], 'sound': [0.75, 0], 'bank': [0.625, -0.625], 'novelty': [4.125, -2.375], 'entrance': [0.75, 0], 'barefoot': [0.75, 0], 'anything': [4.125, -2.375], 'day': [4.125, -2.375], 'break': [4.125, -2.375], 'amount': [0.625, -0.625], 'half': [0.375, 0], 'kinky amsterdam window': [2.25, 0], 'floor corridor': [8.625, -4.75], 'someone drilling concrete': [2.25, 0], 'pointless': [0.625, -0.625], 'construction': [0, -0.625], 'courtyard': [4.125, -2.375], 'nail': [0.75, 0], 'mile': [4.125, -2.375], 'hotel': [4.125, -3.0], 'their': [4.125, -2.375], 'view': [4.125, -2.375], 'glass box': [1.25, -1.25], 'arrival': [0.625, -0.625], 'bathroom': [1.0, -0.625], 'showering': [0.25, -0.625], 'card': [0.625, -0.625], 'glass bathroom': [2.0, -1.25], 'meant': [0.625, -0.625], 'advance': [0, 0], 'transaction charge': [1.25, -1.25], 'deposit': [0, 0], 'park': [4.125, -2.375], 'toilet': [0.25, -0.625], 'issue': [4.125, -2.375], 'guest': [4.125, -2.375], 'state': [1.125, 0], 'london': [4.125, -2.375]}"
47,Hotel Arena, The hotel is a little out of the main town but accessible by tram The hotel restaurant was a little disappointing the food was great but we waited too long for it due to waiting staff prioritising large groups ,"{'food': [1.0, -0.75], 'hotel restaurant': [2.0, -1.5], 'town': [1.0, -0.75], 'hotel': [1.0, -0.75]}"
49,Hotel Arena, Service horrible Pillows super stiff and big could break your neck Room service was done they removed the towels and did not leave us with anything Door was not closing and found out on second day that it can be easily opened Service in general was poor I would not stay here,"{'pillows super stiff': [0.75, -1.875], 'service': [0.5, -1.875], 'neck room service': [1.0, -3.125], 'day': [0.25, -1.25], 'anything door': [0.5, -2.5]}"
50,Hotel Arena, The bar was shut when I got back at midnight which seemed quite early for a hotel bar on a Saturday night in a city like Amsterdam ,"{'hotel bar': [0, -1.25], 'bar': [0, -0.625], 'midnight': [0, -0.625], 'saturday night': [0, -1.25], 'city': [0, -0.625]}"
